id	str_name	windowstypeid	str_district	dte_start	dte_end	str_locality	num_statusid	num_obligationid	txt_description	txt_notes	str_filemakercode	bln_inactive
16	Foothill Family Service Women's	1		0000-00-00	0000-00-00	LA County	1	1	Vanessa attending T112	1/30/04:There is no need for Suvan to call this program. We are working with Summer on getting reports every few months for the children. OP is following up on women's program.  |  7/01/03 OT left another message re: why no workshops are being held & to offer scholarship if necessary for the women's program to get started again.  |    |  6/10/03 Olivia left a message.  |  5/28/03 Suvan talked to Carrie, Carrie said they are not holding workshops. However, she is still interested in teens workshop.	P0016	0
17	Friendship Center of Helena Children's	2	MT	0000-00-00	0000-00-00	Outside CA	2	4		12/15/2004:Sent Eval  |  Judy from the Montana Coalition called to ask for documentation that shows what the $500 fee for distance training for the Windows program includes. She would also ask that we document		1
18	Good Shepherd Shelter Women's	1	10	0000-00-00	0000-00-00	LA City	1	1		12/15/2004:Sent Eval  |  District 10	P0018	0
19	Good Shepherd Shelter Children's	2	10	0000-00-00	0000-00-00	LA City	1	1		12/15/2004:Sent Eval  |  District 10	P0019	0
20	YWCA Glendale - Hamilton Court Women's	1		0000-00-00	0000-00-00	LA County	1	1		2/14/07:  Program made active again on this date.\
\
12/11/2003: Hamilton Court has not had childcare to allow Susan to hold workshops & they don't have enought staff and/or interns to do program.	P0020	1
21	Haven Hills, Inc. Women's	1	3	0000-00-00	0000-00-00	LA City	4	1		12/15/2004:Sent Eval  |  1/20/2004:Ot sent her reporting forms & registration form for possible new leader Alicia Galdamez  |    |  12/8/2003: Christina says they are interested in Reinstating the Womens progrram at Haven Hills-crisis shelter. There is also an outreach program that she is not a part of --the contact there is Nellie Ramos x 15/  |  12/3/2003: Christina Mena is the person to speak to she's in from 8:30-4:30 .   |  10/16/2003: Josie had a baby:) Don't what this means for program. I spoke with somebody at the hotline. she suggested I call the program coordinator - Christina Mena	P0021	0
22	Haven Hills - Outreach Children's	2	3	0000-00-00	0000-00-00	LA City	4	2		12/3/2003:  |  Betty e-mailed me-Gaby is holding workshops on the weekends.-------------  |  District 3  |  5/03- no one is currently doing awbw workshops. Gabriella is no longer working at Haven hills.  |  3/19/03 Olivia left a msg. with Betty fisher to get some info. RE:   the status of this program. Gabriella was trained at the last 9/02 training. She works only weekend.	P0022	1
23	Haven Hills, Inc. Children's	2	3	0000-00-00	0000-00-00	LA City	1	1		12/15/2004:Sent Eval  |  District 3	P0023	0
24	Jewish Family Service (JFS) - Haven House Women's	1		0000-00-00	0000-00-00	LA County	1	1	Haven House included crisis and outreach for adults	12/15/2004:Sent Eval	P0024	0
25	Jewish Family Service (JFS) - Haven House Children's	2		0000-00-00	0000-00-00	LA County	1	1		12/15/2004:Sent Eval  |  5-9-03:  Melissa is new liaison (since Blanca switched to Women's Program)?	P0025	0
26	Haven House (NY) Women's	1	NY	0000-00-00	0000-00-00	Outside CA	2	4			P0026	0
27	Haven House - Outreach Prevention and Education Children's	2		0000-00-00	0000-00-00	LA County	1	2		12/15/2004:Sent Eval  |    |  Haven House outreach to teens no groups held.	P0027	0
28	Haven Two Children's	2	3	0000-00-00	0000-00-00	LA City	1	1	Transitional Shelter	-------------  |  12/15/2004:Sent Eval  |  1/30/2004: Karen children's counselor - called to ask how haven II ch. could reinstate program. OP told her that she was willing to work with Kat Lane & Su-Lynn Chu to get them reporting. they will send reports for January.   |  12/3/2003: No one has been doing windows due to no staff. Kat Lane & Su-Lynn Chu will be calling to start the program.  I told the chidren's counselor Elizabeth#818-346-7640 x17 that their supply balance would be available to them as soon as the start repoting again.  |  9/11/2003:vanessa called to give me marcela cramers name she is haven II coordinator, she's another contact.  |  9/9/2003:Vanessa's last day is Friday -  & Laura Slakey is gone. Vanessa is going to a mental health agency. She will contact us B/c she may want to use the program at her new job. She will send in her August reports & give karen a partial September one.  |  Karen Sorno is the family counsler that supervises the Children's program.  They will hopefully send someone to the children's training in 11/03. Vanessa asks  that we contact Karen to follow up. Vanessa gave karen all the Windows information.  |  May/June 03-groups cancelled b/c no volunteers  |  818-887-7481 is the administrative office only.   |  818-346-7640 is the number to call for the program.	P0028	0
29	Alternatives to Domestic Violence - Casa de Paz Women's	1		0000-00-00	0000-00-00	Southern CA	1	1	Inactive until further notice - will be closed through Dec 04	12/15/2004:Sent Eval  |  Inactive until further notice - will be closed through Dec 04\
\
Formerally "Horizon House"	P0029	0
30	House of Ruth Women's	1		0000-00-00	0000-00-00	LA County	1	1		12/15/2004:Sent Eval  |	P0030	0
31	House of Ruth - Emergency Children's	2		0000-00-00	0000-00-00	LA County	1	2		12/15/2004:Sent Eval  |  10/17/2003: Joanne Dickey wasn't link b/c linked record was deleted as a duplicate.  |  5/9/03: left voicemail re: late March report; send late postcard!	P0031	0
32	House of Ruth - Transitional Children's	2		0000-00-00	0000-00-00	LA County	1	1		12/15/2004:Sent Eval  |  8/3/2004:  |  2003Aug - Sept & December reports missing. Last chance to get program up to date.   |  5/20/03: see notes for R. Mendoza	P0032	0
33	Human Options Children's	2		0000-00-00	0000-00-00	Southern CA	1	2		12/15/2004:Sent Eval  |  8/3/2004:  |  2/3/2004:We need October-December Reports! Please follow up.   |  Belinda will send in 7/03-8/04 reports?	P0033	0
34	Humboldt Domestic Violence Services Women's	1		0000-00-00	0000-00-00	Northern CA	2	3				1
35	Humboldt Domestic Violence Services, Crisis Children's	2		0000-00-00	0000-00-00	Northern CA	2	3		12/15/2004:Sent Eval  |  8/3/2004: Kara Woodworth purchased leaders update subscription.  |  12/3/2003- OT sent Patricia Samson info to register for training including scholarship guidelines.  |  -------------	P0035	1
36	Humboldt Domestic Violence Services, Outreach Children's	2		0000-00-00	0000-00-00	Northern CA	2	3				1
37	Jenesse Center, Inc. Children's	2	10	0000-00-00	0000-00-00	LA City	1	1		-------------  |  9/23/2004:Erica is no longer working at Jenesse.  |  5/4/2004:Erica would like to attend a training.  |  2/3/2004:October report is still missing??? any explanation? OP put 0's assuming for now that no workshop was held.  |  8/12/2003:  |  Sending in all late reports, she had an out of town emergency  |  7/29/2003: In June 2003 no workshops were held due to shelter renovations. There has been much staff turnover lately.  |  6-5-03:  CS spoke with Anita & she said all the reports are done but just haven't been sent since Alicia left.  Anita will send them in.  |    |  5-29-03:  CS left second message, said it was urgent.  |    |  5-8-03: CS called to inquire re missing Jan-Mar reports.  Left message for Anita.	P0037	0
38	Laura's House Women's	1		0000-00-00	0000-00-00	Orange County	1	1	Attending T121	12/15/2004:Sent Eval  |  2/3/2004: Lu's mother passed away recently.  |    |  10/16/2003:Lu Nelson will be the new childrens counselor	P0038	0
39	Laura's House Emergency Children's	2		0000-00-00	0000-00-00	Southern CA	1	1		12/15/2004:Sent Eval  |  6/03- Joy is expressing difficulty with “keeping the younger one's on track” & with discipline. O.T. Sent her the working with younger children updates & a copy of the Rules.	P0039	0
40	Peace & Joy Care Center Children's	2		0000-00-00	0000-00-00	LA County	1	2		12/15/2004:Sent Eval  |  10/5/2004: CS spoke to Ronnie.  She said Cindy & Jennifer are the new Children's leaders, & that she'd love it if we'd help them get started with the reporting.  Says Cindy has manual & is already leading.   CS told her we'll need to see some consistency of reporting in order to award scholarships to Peace & Joy b/c of turn-over.  Ronnie understood & agreed.  |  9/21/2004: Rosalinda told me that Ivy is leaving soon. I spoke with Ivy last month & sent her info  |  6/2004:roya left PandJ b/c she felt abused during the 7 yrs she worked there.  |  -----------  |	P0040	0
41	One Safe Place Women's	1		0000-00-00	0000-00-00	Northern CA	1	2	Casa de la Paz Transitional  |	12/15/2004:Sent Eval	P0041	0
42	SWR - Shasta County Women's Refuge - Redding Children's	2		0000-00-00	0000-00-00	Northern CA	2	2		9/24/2004: left a msg for Jessie  |  8/3/2004:OP spoke with Jessie - She will send reports for May -July & then she won't be doing the program any longer  --they may have a volunteer from the women's program do the group with the kids.   |  -------------  |  2/5/2004: New Children's Coodinator is michele meuser -- they may have a volunteer from the women's program do the group with the kids.   |  2/3/2004:Jessie said in her annual evaluation that she ran workshops alone. She lost a lot of her volunteers & a training she was planning for them never happend. She did not explain missing reports for October to December. Please follow up on these reports.   |  7/30/2003: Jessie Woodford started Program June 2003  |  7-3-03    |  Have not been doing program due to staff problems. Stopped reporting 4/02	P0042	1
43	Sojourn Children's	2		0000-00-00	0000-00-00	LA County	1	2	Restarting TC131	12/15/2004:Sent Eval  |  6/29/2004:Erick turned in all year on 6/22/04 promises to be better!  |  5-8-03 CS e-mail to request March report.  |  4-1-03 Erick e-mailed to say faxing Jan / Feb reports. - CS	P1110	0
44	Su Casa Women's	1	Los Angeles Coun	0000-00-00	0000-00-00	LA County	4	1		12/15/2004:Sent Eval  |  2/4/2004:Cindy Smith is the crisis shelter director.   |  2/4/2004:Beninga Hernandez missed opportunity for T41.   Betty Hernandez - is assistant manger- Christina & Betty alternate thursdays groups.  |  2/3/2004:We still have not received Annual Evaluation? Rec'd 2/4/04.  |  7-15-03 Christina called to say due to injuries & vacations, no groups were held in June.  She'll still send the report.  Workshops are resuming now, & the ladies missed them.	P0044	0
45	Su Casa - Transitional Children's	2		0000-00-00	0000-00-00	LA County	1	1		12/15/2004:Sent Eval  |  4/12/2004: Christina called to say they will be reducing their entire program to one 2-hour group per  week.  They'll have Windows 1-2 X per month plus use it in individual sessions.  They'll include all in reports.  |  2/3/2004:  We still have not rec'd Annual Eval.   |  5/9/13: Left msg re: late March report & leader's survey.	P0045	0
46	Su Casa - Transitional Women's	1		0000-00-00	0000-00-00	LA County	1	1	Attended T131	2/14/07: Program made active again on this date.\
-------------  |  3/03 Chrisitina Curtis called to say that their office is being worked on. They may or may not hold workshops. OT asked her to send blank reports with 0/0,	P0046	0
47	Tahoe Safe Alliance Children's	2		0000-00-00	0000-00-00	Northern CA	1	3	Formerly Tahoe Women's Servoces	12/15/2004:Sent Eval  |  3/5/2004:As the groups get bigger its more challenging to assure that the children are being respectful to other children.  |  6/5/2004:  Gina would like some suggestions on workshops for younger children.   |  OP called.   |  2/3/2004:Gina is new liasion she filled out annual eval based on anneliese's reports.   |  12/17/2003:Gina Farrel will  be replacing her.  Annelise said she will notify her supervisor about the women's program & responsibilities for the children's program  |  12/5/03 ot sent her info on starting a women's program  |  10/13/03- Anneliese contacted AWBW inquiring about starting a Women's Program.	P0047	0
48	Valley Oasis - DV Shelter Women's	1		0000-00-00	0000-00-00	LA County	3	1	Tammi attending T112\
Was Oasis House	Restart date 4/5/2010\
Combined this program (AVDVC Valley Oasis) with AVDVC Stepping into the Light - both programs are Transitional programs. Ruth Crawford is the leader at Transitional 1 and Debi is transitional 2 (a.k.a. Stepping into the light)\
\
12/15/2004:Sent Eval  |  4/28/2004:Tasha is back- She will be the Liasion for both programs for the time being.  |  --------------------------  |  3/13/2004:New leader sylia coaona turned Feb report.  |  1/28/2004: CS spoke to Obbie.  She wasn't able to train Misty because Misty was placed with the children's program.  No workshops were held Oct-Dec.  Obbie led 3 workshops in January 2004 & will send report.  She'll also be training the next hire to be her assistant.  Doesn't know who yet.  |  10/14/2003: Obbie is training Misty Cervantes.  Will restart groups next week (October 2004).  |  Obbie got a promotion & has not being able to do the program. she will contact us when she trains a new person.	P0048	0
49	Valley Oasis - Children's Playhouse Children's	2		0000-00-00	0000-00-00	LA County	1	1		1/25/2005:Wainting for full report for January.  |  12/15/2004:Sent Eval  |  6/21/2004:Misty cervantes is now working at another location  |  4/28/2004:Tasha is back- She will be the Liasion for both programs for the time being.  |  ------------  |  4/28/2004:Trina has been out on maternity leave...She may be back 5/15/04. Misty Cervantes is doing workshops but is not register. Olivia lft. a msg....I need her to send in a Registration of Leadership form  |  2/3/2004: Annual Evaluation- last chance to get program up to date. If you can't reach Trina maybe you can call (other leader) Lisa Mondoux at 661-945-3136.  |  5/9/03: Left msg re: late March report & leader survey.	P0049	0
50	Women�s & Children�s Crisis Shelter Children's	2		0000-00-00	0000-00-00	LA County	1	1	Emergency Shelter	Sandy Baker is No longer working at WCCS	P0050	0
51	YWCA WINGS Children's	2		0000-00-00	0000-00-00	LA County	1	1		12/15/2004:Sent Eval  |  7/9/2004:Silvia coordinates reporting but doesn't lead.  |  2/3/2004: We are missing October 2003 report - were there no workshops held? OP will assume so until further notice.   |  5/9/13: Called re: late March report; they'll send it soon.	P0051	0
52	YWCA WINGS - Outreach Women's	1		0000-00-00	0000-00-00	LA County	4	1		12/15/2004:Sent Eval  |  6/4/2004:PLEASE NOTE THAT ERLINDA AND BERN WHYTE ARE SENDING IN TWO REPORTS - OP CALLED LAST MONTH TO CLEAR THIS UP BUT HAS NOT HEARD BACK.  |  3/30/2004:Erlinda called to say she's back from disablility & inquired about ary supply balance...Olivia explained to her that Wings Outreach has not kept reporting up to date. Bernardette Whyte rec'd a full scholarship in August 2003 to do the Women's program at outreach & with spanish speakers. In the last 6 months according to their reporting or lack there of, they've only had one participant. Olivia told them that they must get back on track, if they want to use their art supply scholarship.  |  1/20/04: OP sent Bernardette Whyte a new Annual Evaluation via fax.   |  1/14/04 suvan left a message with Anna Enturiano (director) re: Annual Evaluation  |  12/15/2003: Bernardette called to say Christine Bolden is no longer with Wings.  Bernardette will be the liaison as of Dec. 15th (pending Erlind'a disability leave) & she will try to figure out the November info.   |  10/30/2003: CS called to check in about how it's gone since Bernardette was trained.  Left voice mail for Christine Bolden.  |  8/16/2003: Erlinda's been out on disability.  Will be back soon.	P0052	1
53	YWCA WINGS - Outreach Children's	2		0000-00-00	0000-00-00	LA County	4	1		3/18/2005: Adrienne Tony wants to be trained at the next children's training - She has been  a Volunteer for the last 2 yrs. Christy Turek recommend us to her.  |  12/15/2004:Sent Eval  |  12/2/2004:Left 2 msgs for Ana regarding the msg she left with Cathy & regarding Asian Survivors art for Journal - I  have not heard back.   |  1/15/2004:Chao Lee is nicole's immediate supervisor  |  Nicole will be Liasion during Peggy (Chao) Lee's maternity leave 4/03-7/03	P0053	1
54	YWCA WINGS Women's	1		0000-00-00	0000-00-00	LA County	1	1		12/15/2004:Sent Eval	P0054	0
55	Womencare Shelter Children's	2	WA	0000-00-00	0000-00-00	Outside CA	1	1		12/15/2004:Sent Eval	P0055	0
56	WomenShelter of Long Beach (WSLB) Children's	2		0000-00-00	0000-00-00	LA County	1	1	Emergency	12/15/2004:Sent Eval  |  4/28/2004:  |  3/4/2004: Call to ask if Maria Bonilla is active & whether she should be getting updates. (She's coded as “pending” status, & is currently receiving updates).  |  1/26/2004: CS spoke to Yvonne.  She'll send in Nov. Dec. reports today.   |  10/2/2003: Yvonne will be new liaison.  She'll be leading weekly groups with the 2-5 year olds.  Fili will be leading weekly groups for the 6 & up ages.  Yvonne's monthly report will cover both age-levels. Jessica will fax reg./change of leadership today.  |  9/5/2003: Jessica is temporary liasion.  |  6-13-03: Cecilia called to say Paulette will be out 2-3 months for materniity leave.  CS let her know that it's fine if the person taking Paulette's place continues the workshops without having the training.	P0056	0
57	Chayil, Inc Women's	1	GA	0000-00-00	0000-00-00	Outside CA	5	3			P0718	0
370	Insights Foundation Women's	1	Southern CA and	0000-00-00	0000-00-00		1	3			P0534	0
371	Rio Hondo Temporary Home Homeless Shelter Children's	2	LA	0000-00-00	0000-00-00	LA County	1	1			P0543	0
372	Pacific Clinics Children's	2	Pomona	0000-00-00	0000-00-00	LA County	1	1			P0575	0
373	South Gate Police Dept. Family Violence Prevention Children's	2	CA	0000-00-00	0000-00-00	LA County	1	1			P0539	0
374	Insights Foundation Children's	2		0000-00-00	0000-00-00	Outside CA	1	3			P0536	0
375	Huff Art Center Children's	2	LA	0000-00-00	0000-00-00	Central California	1	1			P0540	0
376	Dawn's House Children's	2	WA	0000-00-00	0000-00-00	Outside CA	1	1			P0541	0
377	Domestic Violence and Sexual Assault Coalition (DVSAC) Children's	2	LA	0000-00-00	0000-00-00	Northern CA	1	1			P0544	0
378	East Los Angeles Women's Center Children's	2		0000-00-00	0000-00-00	LA City	1	1			P0545	0
58	Women's Transitional Living Center (WTLC) Children's	2	CA	0000-00-00	0000-00-00	Southern CA	1	1	Women's Transitional Living Center	12/15/2004:Sent Eval\
\
10/29/2014: Name changed from With Tender Loving Care (WTLC) Children's to Women's Transitional Living Center (WTLC) Children's	P0058	0
59	YWCA Glendale - Sunrise Village Children's	2		0000-00-00	0000-00-00	LA County	1	1	Crisis Shelter	12/15/2004:Sent Eval  |  5/18/2004:Kristen will be the Liasion for both Sunrise village & hamilton court	P0060	0
60	DELETE	1		0000-00-00	0000-00-00	LA County	2	2	Crisis Shelter	12/15/2004:Sent Eval  |  Check with Cheryl	P0061	1
61	1736 Family Crisis Center Outpatient Women's	1	10	0000-00-00	0000-00-00	LA City	2	1	Combination of SSLA crisis shelter workshops and Outpatient workshops (all submitted by Wendy).	NOTE: $227 from this inactive outpatient program reallocated to 1736 FCC.  |  12/5/2003:Wendy will no longer be doing this program but will remain the liasion. Brigitte Hueyopa will be replacing her at 1736 Shelter.  |  we are expecting a change of leadership form.  |  5/7/2003:  CS spoke to Wendy & reallocated 227.16 from the 1736 SSLA funding.  Wendy agreed to report & include SSLA workshops being led at the shelter by the new intern (Guadalupe).  |  4/7/2003:  Called wendy to ask her who is going to be replacing monica Sanchez as Liasion. Wendy called to let us know that Mon Sanchez is no longer working there. Monica was an intern, internship duration is 3-6 months. They hope to get new intern soon.  |  District 10	P0062	1
62	Alexandria House Women's	1	4	0000-00-00	0000-00-00	LA City	3	1	Attended T122	12/15/2004:Sent Eval  |  9/10/2004: Yanti will be on Maternity Leave though December - she will let us know when she gets back.	P0063	0
63	Angel Step Too Children's	2	1	0000-00-00	0000-00-00	LA City	4	1		12/15/2004:Sent Eval	P0064	0
64	Bradley Angle House Women's	1	OR	0000-00-00	0000-00-00	Outside CA	5	0				1
65	The Wellspring Children's	2	LA	0000-00-00	0000-00-00	Outside CA	1	3	bi-weekly workshops  |  Monthly	12/15/2004:Sent Eval  |  9/23/2004:  |  Calondra Hightower sent me a message that she sent her first report. I had been asking every couple of months since the beginning of the year to start reporting. Please see letter I sent her 8/27/04.	P0068	0
66	Alternatives to Domestic Violence - Casa de Paz Children's	2	CA	0000-00-00	0000-00-00	Southern CA	1	1		12/15/2004:Sent Eval	P0070	0
67	Loretta's Outreach Women's	1		0000-00-00	0000-00-00	LA County	2	0				1
68	Haven Hills - Teen Program Children's	2		0000-00-00	0000-00-00	LA County	1	3		3/15/05 Justina is no longer  at this location. Some research is nec to find updated information.  |    |  6/29/2004:will not hold workshops until August  |  Works with 10-12 children per workshop. Has worked with about 100 different children during 2002.		0
69	Indian Women's Resource Ctr Women's	1	MN	0000-00-00	0000-00-00	Outside CA	5	0				1
70	Refugee Safe Haven Women's	1		0000-00-00	0000-00-00	LA City	5	1			P0074	1
71	The Women's Community (WI) Women's	1	WI	0000-00-00	0000-00-00	Outside CA	1	3		3/8/2005: CS spoke to Judy, sent shrinky dinks.  Judy will sent in Logs without adding up participants.  She will rename the program, & help with betatesting.  She had felt disconnected & overwhelmed by reporting, but is now feeling reconnected & excited.  |  12/15/2004:Sent Eval  |  9/2/2003:  |  1/02 Sent her info. about hosting a training.  |  11/02 Judy held her first Women's Workshop.  |  7/02 Judy contacted Cathy regarding starting the women's program.	P0075	0
72	Turning Point of the Lehigh Valley Children's	2	PA	0000-00-00	0000-00-00	Outside CA	5	3				1
73	Women at Work Children's	2		0000-00-00	0000-00-00	LA County	5	3	Women at Work is inactive b/c Virgina Manley is not able to do workshops. She hopes to subscribe to the updates in the future when she can do the program.	Women at Work is inactive b/c Virgina Manley is not able to do workshops. She hopes to subscribe to the updates in the future when she can do the program.		1
74	Women's Aid, Ireland Women's	1	Ireland	0000-00-00	0000-00-00	Outside CA	2	5		8/5/2004: olivia made this program inactive b/c we are not in contact with Vivienne.		1
75	Women's Center of East Texas, Inc. Children's	2	TX	0000-00-00	0000-00-00	Outside CA	1	1	Reinstated by Attending Austin Training 2011		P0079	0
76	Women's Transitional Living Center (WTLC) Women's	1	CA	0000-00-00	0000-00-00	Orange	1	1	Adriana attending T112\
Attended T131\
Was Women's Transitional Living Center	12/15/2004:Sent Eval  |  12/22/2003: Director (Rosalba) called, says Paula is active & will send in late reports (Oct/Nov).  |  Paula is not available on thursday b/c she's in meetings. Therefore, she can not attend workshops:( unless they are on another day. œ\
\
10/29/2014: Name changed from With Tender Loving Care (WTLC) Women's to Women's Transitional Living Center (WTLC) Women's	P0081	0
77	Women�s Transitional Living Center 2 (WTLC) Women's	1		0000-00-00	0000-00-00	Southern CA	2	1	Women’s Transitional Living Center	12/15/2004:Sent Eval	P0082	1
78	YWCA Glendale - Hamilton Court Outreach Children's	2		0000-00-00	0000-00-00	LA County	2	1	Transitional  |	12/15/2004:Sent Eval  |    |  6/21/2004:called to check in  |  5/18/2004:Kristen Parrza will be the Liasion for both Sunrise village & hamilton court  |  4/16/2004:Jessenia will fill in until a new leader is trained May.   |  2/3/2004:Please call Jessenia & ask her to please get the May-September #'s she was going to get from the staff. Jessenia spoke with Cathy & told her she would try to get these numbers. We also need Dec reports & Annual Evaluation in by Thursday. It is the last chance to bring the program up to date. If she's unable to complete if b/c maybe she doesn't feel comfortable doing it tell her it's o.k. but to please give a call & let us know.   |  She told me today that she was going to send “stuff in”. Please follow up.   |  12/8/2003: Jessenia left staff but will continue the program as a volunteer.  She will fax past month's numbers (May-Nov).  She said Jackie Knoll has been gone 2 months.  |  10/17/2003:ot left msg for jackie RE: training  |  10/10/2003:  |  Jackie Knoll replaced Reza Hadavi.  Ben only comes in on  Mondays.  FAXed information about the November Leadership Workshop.  |  5/9/03: Left msg on machine re: survey.	P0084	1
79	Oaxaca Project Women's	1	MX	0000-00-00	0000-00-00	Outside CA	5	0				1
80	American Indian Counseling Center Women's	1	WA	0000-00-00	0000-00-00	Outside CA	5	0			P0086	1
81	Norma's Project Women's	1		0000-00-00	0000-00-00	Northern CA	5	0		7/9/2003:ot will send as a follow up--updated training info.  |  -------------		1
